"","date","time","lab","sample_type","parameter","value"
"85",2017-05-04,"10:00:00","BC Labs","Grab","Ammonia","33"
"87",2017-05-04,"10:00:00","BC Labs","Grab","TKN","57"
"89",2017-05-04,"10:00:00","BC Labs","Grab","Alkalinity","230"
"91",2017-05-04,"10:00:00","BC Labs","Grab","ortho-Phosphate","3.5"
"93",2017-05-04,"10:00:00","BC Labs","Grab","Phosphorus","7.5"
"95",2017-05-22,"09:00:00","BC Labs","Grab","TSS (mg/L)","350"
"98",2017-05-22,"09:00:00","BC Labs","Grab","VSS (mg/L)","330"
"100",2017-05-22,"09:00:00","BC Labs","Grab","BOD (mg/L)","170"
"102",2017-05-22,"09:00:00","BC Labs","Grab","COD (mg/L)","320"
"104",2017-05-22,"09:00:00","BC Labs","Grab","Ammonia","33"
"106",2017-05-22,"09:00:00","BC Labs","Grab","TKN","46"
"108",2017-05-22,"09:00:00","BC Labs","Grab","Alkalinity","240"
"110",2017-05-22,"09:00:00","BC Labs","Grab","ortho-Phosphate","3.5"
"112",2017-05-22,"09:00:00","BC Labs","Grab","Phosphorus","5.7"
"114",2017-07-05,"10:00:00","BC Labs","Grab","TSS (mg/L)","150"
"117",2017-07-05,"10:00:00","BC Labs","Grab","VSS (mg/L)","150"
"120",2017-07-05,"10:00:00","BC Labs","Grab","BOD (mg/L)","240"
"123",2017-07-05,"10:00:00","BC Labs","Grab","COD (mg/L)","430"
"144",2017-08-02,"10:00:00","BC Labs","Grab","TSS (mg/L)","91"
"150",2017-08-02,"10:00:00","BC Labs","Grab","VSS (mg/L)","91"
"155",2017-08-02,"10:00:00","BC Labs","Grab","BOD (mg/L)","220"
"160",2017-08-02,"10:00:00","BC Labs","Grab","COD (mg/L)","740"
"1316",2019-03-13,"09:00:00","BC Labs","24-hr Composite","TSS (mg/L)","250"
"1317",2019-03-13,"09:00:00","BC Labs","24-hr Composite","TKN","57"
"1318",2019-03-13,"09:00:00","BC Labs","24-hr Composite","Ammonia","51"
"1319",2019-03-13,"09:00:00","BC Labs","24-hr Composite","Phosphorus","6.9"
"1320",2019-03-13,"09:00:00","BC Labs","24-hr Composite","BOD (mg/L)","400"
"1321",2019-03-13,"09:00:00","BC Labs","24-hr Composite","cBOD","390"
"1322",2019-03-13,"09:00:00","BC Labs","24-hr Composite","COD (mg/L)","820"
"1350",2019-03-14,"09:00:00","BC Labs","24-hr Composite","TSS (mg/L)","260"
"1351",2019-03-14,"09:00:00","BC Labs","24-hr Composite","TKN","48"
"1352",2019-03-14,"09:00:00","BC Labs","24-hr Composite","Ammonia","46"
"1353",2019-03-14,"09:00:00","BC Labs","24-hr Composite","ortho-Phosphate","4"
"1354",2019-03-14,"09:00:00","BC Labs","24-hr Composite","Phosphorus","6.4"
"1355",2019-03-14,"09:00:00","BC Labs","24-hr Composite","BOD (mg/L)","440"
"1356",2019-03-14,"09:00:00","BC Labs","24-hr Composite","cBOD","370"
"1357",2019-03-14,"09:00:00","BC Labs","24-hr Composite","COD (mg/L)","630"
