"","date","time","lab","sample_type","parameter","value"
"1562",2019-06-05,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","110"
"1563",2019-06-05,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","220"
"1564",2019-06-05,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","290"
"1576",2019-06-12,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","63"
"1577",2019-06-12,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","210"
"1579",2019-06-12,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","630"
"1591",2019-06-19,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","150"
"1592",2019-06-19,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","290"
"1594",2019-06-19,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","450"
"1604",2019-06-26,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","100"
"1605",2019-06-26,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","150"
"1606",2019-06-26,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","390"
"1618",2019-07-17,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","79"
"1619",2019-07-17,"08:30:00","BC Labs","24-hr Composite","TKN","42"
"1620",2019-07-17,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","210"
"1621",2019-07-17,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","460"
"1631",2019-07-24,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","2000"
"1632",2019-07-24,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","160"
"1633",2019-07-24,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","820"
"1653",2019-07-31,"08:30:00","BC Labs","24-hr Composite","TSS (mg/L)","150"
"1654",2019-07-31,"08:30:00","BC Labs","24-hr Composite","TKN","51"
"1655",2019-07-31,"08:30:00","BC Labs","24-hr Composite","Ammonia","40"
"1656",2019-07-31,"08:30:00","BC Labs","24-hr Composite","ortho-Phosphate","2.7"
"1657",2019-07-31,"08:30:00","BC Labs","24-hr Composite","Phosphorus","9.1"
"1658",2019-07-31,"08:30:00","BC Labs","24-hr Composite","BOD (mg/L)","260"
"1659",2019-07-31,"08:30:00","BC Labs","24-hr Composite","cBOD","220"
"1660",2019-07-31,"08:30:00","BC Labs","24-hr Composite","COD (mg/L)","880"
